,player_id,team_id,season_id
452,201229,POR,2019-20
456,200782,HOU,2019-20
457,202323,ATL,2019-20
458,1626167,IND,2019-20
459,202685,MEM,2019-20
461,1627832,TOR,2019-20
463,203943,MIN,2019-20
464,202696,ORL,2019-20
466,1629021,WAS,2019-20
467,203079,MIA,2019-20
468,202689,BOS,2019-20
469,1629022,SAS,2019-20
470,202322,WAS,2019-20
472,1628476,MIA,2019-20
473,202954,BOS,2019-20
474,203933,IND,2019-20
475,1629023,CHA,2019-20
476,1629139,MEM,2019-20
477,1629682,BOS,2019-20
478,1629683,SAS,2019-20
479,201566,HOU,2019-20
480,1629632,CHI,2019-20
481,1628401,SAS,2019-20
482,202355,POR,2019-20
483,203952,MIN,2019-20
484,1629684,BOS,2019-20
485,1629026,NOP,2019-20
486,101150,LAC,2019-20
487,101107,CHA,2019-20
488,1629057,BOS,2019-20
489,1628430,UTA,2019-20
490,1629627,NOP,2019-20
491,1628391,MIL,2019-20
492,1629685,CLE,2019-20
493,1626159,MIA,2019-20
494,1626174,DET,2019-20
495,1626153,DAL,2019-20
496,1629625,UTA,2019-20
497,201152,CHI,2019-20
498,1629027,ATL,2019-20
499,203469,CHA,2019-20
500,1627790,CLE,2019-20
501,1627826,LAC,2019-20
